"externalId","courseExternalId","coureSectionNumber","capacity","currentEnrollment","Status","CreditHours"
"AFRI010A AF-01 FA2020","AFRI010A AF","01",25,26,C,1.0
"AFRI010ACAF-01 SP2021","AFRI010ACAF","01",18,17,R,1.0
"AFRI010B AF-01 SP2020","AFRI010B AF","01",15,18,C,1.0
"AFRI010B AF-01 SP2021","AFRI010B AF","01",15,16,C,1.0
"AFRI116  AF-01 SP2020","AFRI116  AF","01",15,19,C,1.0
"AFRI119  JT-01 SP2020","AFRI119  JT","01",15,11,R,1.0
"AFRI120  PZ-01 FA2020","AFRI120  PZ","01",16,11,O,1.0
"AFRI121  AF-01 FA2020","AFRI121  AF","01",18,18,C,1.0
"AFRI121  AF-01 SP2021","AFRI121  AF","01",10,9,R,1.0
"AFRI125  AF-01 SP2020","AFRI125  AF","01",15,13,R,1.0
"AFRI125  AF-01 FA2020","AFRI125  AF","01",18,15,R,1.0
"AFRI144A AF-01 SP2020","AFRI144A AF","01",20,13,C,1.0
"AFRI149  AF-01 FA2021","AFRI149  AF","01",15,0,O,1.0
"AFRI190  AF-01 FA2020","AFRI190  AF","01",15,3,O,1.0
"AFRI190  AF-01 FA2021","AFRI190  AF","01",15,0,O,1.0
"AFRI191  AF-02 SP2020","AFRI191  AF","02",15,2,O,1.0
"AFRI191  AF-04 SP2020","AFRI191  AF","04",15,4,O,1.0
"AFRI191  AF-08 SP2020","AFRI191  AF","08",15,0,O,1.0
"AFRI191  AF-12 SP2020","AFRI191  AF","12",15,2,O,1.0
"AFRI191  AF-16 SP2020","AFRI191  AF","16",15,0,O,1.0
"AFRI191  AF-04 SP2021","AFRI191  AF","04",15,2,O,1.0
"AFRI191  AF-04 SP2021","AFRI191  AF","04",15,2,O,1.0
"AFRI191  SC-01 SP2020","AFRI191  SC","01",99,0,O,1.0
"AFRI191  SC-02 SP2020","AFRI191  SC","02",5,1,O,1.0
"AFRI191  SC-03 SP2020","AFRI191  SC","03",35,1,O,1.0
"AFRI191  SC-01 SP2021","AFRI191  SC","01",99,0,O,1.0
"AFRI192  AF-04 SP2020","AFRI192  AF","04",15,0,O,1.0
"AFRI193  AF-04 SP2020","AFRI193  AF","04",15,0,O,1.0
"AFRI195F PZ-01 SU2021Z1","AFRI195F PZ","01",20,2,O,1.0
"AFRI195F PZ-01 SU2021Z1","AFRI195F PZ","01",20,2,O,1.0
"ALS 400  KG-01 FA2021","ALS 400  KG","01",15,0,O,0.0
"AMST103  JT-01 SP2020","AMST103  JT","01",30,30,C,1.0
"AMST103  SC-01 SP2021","AMST103  SC","01",25,19,R,1.0
"AMST117  PO-01 SP2021","AMST117  PO","01",15,2,O,1.0
"AMST117  PO-01 SP2021","AMST117  PO","01",15,2,O,1.0
"AMST120  HM-01 SU2020S1","AMST120  HM","01",15,15,C,3.0
"AMST130  SC-01 FA2020","AMST130  SC","01",15,12,R,1.0
"AMST180  SC-01 SP2020","AMST180  SC","01",15,13,O,1.0
"AMST180  SC-01 SP2021","AMST180  SC","01",12,10,O,1.0
"AMST180  SC-01 FA2021","AMST180  SC","01",15,0,O,1.0
"AMST190  PO-01 FA2020","AMST190  PO","01",10,4,O,1.0
"AMST190  PO-01 FA2021","AMST190  PO","01",15,0,O,1.0
"AMST191  PO-04 SP2020","AMST191  PO","04",15,1,O,1.0
"AMST191  PO-04 SP2020","AMST191  PO","04",15,1,O,1.0
"AMST191  PO-08 SP2020","AMST191  PO","08",15,1,O,1.0
"AMST191  SC-01 SP2020","AMST191  SC","01",99,0,O,1.0
"AMST191  SC-02 SP2020","AMST191  SC","02",1,1,C,1.0
"AMST191  SC-03 SP2020","AMST191  SC","03",35,1,O,1.0
"AMST191  SC-04 SP2020","AMST191  SC","04",35,1,O,1.0
"AMST191  SC-05 SP2020","AMST191  SC","05",35,1,O,1.0
"AMST191  SC-01 SP2021","AMST191  SC","01",99,0,O,1.0
"ANTH001  PZ-01 SP2020","ANTH001  PZ","01",30,27,R,1.0
"ANTH001  PZ-01 FA2020","ANTH001  PZ","01",30,23,O,1.0
"ANTH001  PZ-01 SP2021","ANTH001  PZ","01",19,17,R,1.0
"ANTH001  PZ-01 FA2021","ANTH001  PZ","01",28,0,O,1.0
"ANTH002  PO-01 SP2020","ANTH002  PO","01",18,19,C,1.0
"ANTH002  PO-01 FA2020","ANTH002  PO","01",18,18,C,1.0
"ANTH002  PO-01 FA2020","ANTH002  PO","01",18,18,C,1.0
"ANTH002  PO-02 FA2020","ANTH002  PO","02",18,14,C,1.0
"ANTH002  PO-01 SP2021","ANTH002  PO","01",18,19,C,1.0
"ANTH002  PO-02 SP2021","ANTH002  PO","02",18,15,C,1.0
"ANTH002  PO-03 SP2021","ANTH002  PO","03",18,15,C,1.0
"ANTH002  PO-01 FA2021","ANTH002  PO","01",21,0,O,1.0
"ANTH002  PO-02 FA2021","ANTH002  PO","02",20,0,O,1.0
"ANTH002  PO-03 FA2021","ANTH002  PO","03",20,0,O,1.0
"ANTH002  PZ-01 SP2020","ANTH002  PZ","01",22,22,C,1.0
"ANTH002  PZ-02 SP2020","ANTH002  PZ","02",22,19,R,1.0
"ANTH002  PZ-03 SP2020","ANTH002  PZ","03",22,21,R,1.0
"ANTH002  PZ-01 SU2020S2","ANTH002  PZ","01",22,16,O,1.0
"ANTH002  PZ-01 SU2020S2","ANTH002  PZ","01",22,16,O,1.0
"ANTH002  PZ-01 FA2020","ANTH002  PZ","01",22,18,R,1.0
"ANTH002  PZ-02 FA2020","ANTH002  PZ","02",22,19,R,1.0
"ANTH002  PZ-01 SP2021","ANTH002  PZ","01",22,19,R,1.0
