"courseSectionExternalId","staffExternalId"
"AFRI010A AF-01 FA2020","20256394"
"AFRI125  AF-01 SP2020","30360184"
"AFRI144A AF-01 SP2020","10042860"
"AFRI191  AF-12 SP2020","20256394"
"AMST103  JT-01 SP2020","20264876"
"AMST103  SC-01 SP2021","20252263"
"AMST180  SC-01 FA2021","20256393"
"AMST191  PO-08 SP2020","10042864"
"ANTH002  PO-01 SP2021","10357573"
"ANTH002  PO-03 SP2021","10364730"
"ANTH002  PZ-01 SP2021","50445872"
"ANTH002  SC-01 FA2020","20273157"
"ANTH002  SC-02 FA2021","20179111"
"ANTH049  PZ-01 FA2020","50445872"
"ANTH051  PZ-01 SP2021","50445872"
"ANTH107  PO-01 FA2021","10358055"
"ARBC011  CM-01 FA2020","30360629"
"ARBC011  CM-01 FA2021","30360629"
"ARBC166  CM-01 FA2021","30347077"
"ARHI137  PZ-01 SP2020","50120623"
"ARHI160  SC-01 FA2020","20268837"
"ARHI176  JT-01 FA2021","10013095"
"ARHI186G PO-01 SP2021","10013095"
"ARHI189  SC-01 FA2020","20042197"
"ART 010  PO-01 FA2020","10363077"
"ART 030  PZ-01 FA2020","50339931"
"ART 033  HM-01 SP2020","40160090"
"ART 105  SC-01 SP2021","20252266"
"ART 115  PO-01 FA2021","10215763"
"ART 120  SC-01 FA2021","20125073"
"ART 133  PZ-01 SP2020","50119081"
"ART 141  SC-02 FA2020","20261998"
"ART 142  SC-01 SP2021","20272985"
"ART 179F HM-01 FA2021","40043124"
"ART 179G HM-01 SP2020","10355940"
"ART 179H HM-01 SU2020S1","40160090"
"ART 181G SC-01 SP2020","20042194"
"ART 181M SC-01 SP2021","20042198"
"ART 189A PO-01 SP2021","10363077"
"ART 193  SC-01 SP2020","20042202"
"ASAM191  PO-20 SP2020","10358249"
"ASAM191  SC-01 SP2021","20042124"
"ASAM199  SC-01 FA2020","20249460"
"ASTR066L KS-01 FA2020","20232174"
"ASTR123  PO-01 SP2021","10348196"
"BIOL023  HM-03 SP2020","40145327"
"BIOL039L KS-01 SP2021","20088859"
"BIOL040  PO-01 FA2020","10358850"
"BIOL040  PO-02 FA2020","10358160"
"BIOL040  PO-05 FA2020","10032294"
"BIOL040  PO-05 FA2020","10032294"
"BIOL040  PO-01 FA2021","10087641"
"BIOL040  PO-03 FA2021","10087641"
"BIOL041C PO-03 SP2020","10092220"
"BIOL041C PO-02 SP2021","10134639"
"BIOL041C PO-04 SP2021","10364639"
"BIOL041C PO-04 SP2021","10092220"
"BIOL041E PO-01 SP2021","10042453"
"BIOL041E PO-02 SP2021","10120280"
"BIOL042L KS-02 SP2021","20260028"
"BIOL043L KS-05 FA2020","20253160"
"BIOL043LXKS-03 FA2020","20264521"
"BIOL043LXKS-05 FA2020","20268918"
"BIOL043LXKS-09 FA2020","20264773"
"BIOL043LXKS-01 FA2021","20264773"
"BIOL043LXKS-04 FA2021","20042124"
"BIOL044L KS-04 SP2020","20042221"
"BIOL044L KS-05 SP2020","20042221"
"BIOL044L KS-02 SP2021","20268918"
"BIOL044L KS-04 SP2021","20195451"
"BIOL044LXKS-04 SP2020","20264520"
"BIOL044LXKS-09 SP2020","20264773"
"BIOL044LXKS-01 FA2021","20264773"
"BIOL052  HM-01 SP2021","40145327"
"BIOL052R HM-02 SP2020","40164651"
"BIOL052R HM-04 SP2020","40145327"
"BIOL052R HM-05 SP2020","40164651"
"BIOL052R HM-04 SP2021","40145327"
"BIOL063L KS-01 SP2021","20264520"
"BIOL109  HM-01 FA2021","40005424"
"BIOL121  PO-01 FA2020","10014392"
"BIOL131LXKS-01 FA2020","20256882"
"BIOL133L KS-01 SP2020","20088859"
"BIOL140  KS-01 SP2020","20123322"
"BIOL145  KS-01 FA2020","20042221"
"BIOL148L KS-01 SP2020","20123322"
"BIOL151L KS-01 SP2020","20195442"
"BIOL156L KS-01 SP2021","20256390"
"BIOL165  KS-01 SP2020","20209387"
"BIOL166  PO-01 FA2020","10331443"
"BIOL170L KS-01 SP2021","20253160"
"BIOL171  KS-01 SP2021","20004250"
"BIOL173B PO-01 SP2021","10134553"
"BIOL175  PZ-01 SU2021Z1","50010739"
"BIOL177  KS-01 SP2021","20042214"
"BIOL177  KS-01 FA2021","20219101"
"BIOL180  PO-01 SP2021","10087436"
"BIOL191  PO-18 SP2020","10120280"
"BIOL191F PO-44 SP2021","10306332"
"BIOL191F PO-44 FA2021","10306332"
"BIOL191H PO-08 FA2020","10358160"
"BIOL191H PO-20 FA2020","10358160"
"BIOL191H PO-24 FA2020","10358160"
"BIOL191H PO-32 FA2020","10358160"
"BIOL191H PO-40 FA2020","10092220"
"BIOL191H PO-20 SP2021","10331443"
"BIOL191H PO-44 FA2021","10092220"
"BIOL193  HM-09 FA2020","40000910"
"BIOL193  HM-03 SP2021","40005424"
"BIOL193  HM-08 FA2021","40005424"
"BIOL193  HM-09 FA2021","40188718"
"BIOL194  HM-02 SP2020","40163647"
"BIOL194  HM-03 SP2020","40005424"
"BIOL194  HM-04 SP2020","40164651"
"BIOL194  HM-04 SP2020","40005424"
"BIOL194A PO-04 FA2020","10358160"
"BIOL194A PO-08 FA2020","10358160"
"BIOL194A PO-36 FA2020","10358160"
"BIOL194A PO-44 FA2020","10306332"
"BIOL194A PO-24 FA2021","10134639"
"BIOL194A PO-40 FA2021","10043238"
"BIOL194B PO-20 SP2020","10120280"
"BIOL195  HM-01 FA2021","40043116"
"BIOL199  KS-02 SP2020","20078318"
"BIOL199  KS-11 SP2020","20264521"
"CGS 092  PZ-01 SU2021Z1","50010739"
"CGS 097  PZ-01 SP2021","50162675"
"CGS 097  PZ-01 SP2021","50162675"
"CGS 097  PZ-01 SU2021Z1","50010739"
"CGS 134  PZ-01 SP2021","50010773"
"CGS 135  PZ-01 SP2021","50451553"
"CHEM001ALPO-02 FA2020","10091830"
"CHEM001ALPO-05 FA2021","10361279"
"CHEM001BLPO-01 SP2020","10091830"
"CHEM001BLPO-04 SP2020","10248799"
"CHEM001BLPO-04 SP2020","10091830"
"CHEM001BLPO-04 SP2021","10087224"
"CHEM001BLPO-04 SP2021","10091830"
"CHEM001BLPO-04 SP2021","10091830"
"CHEM001BLPO-05 SP2021","10091830"
"CHEM014L KS-03 FA2020","20098529"
"CHEM014L KS-03 FA2020","20098529"
"CHEM014L KS-04 FA2021","20042124"
"CHEM014L KS-05 FA2021","20042124"
"CHEM014L KS-09 FA2021","20042124"
"CHEM014L KS-10 FA2021","20042124"
"CHEM023A HM-01 FA2020","40157041"
"CHEM023A HM-02 FA2020","40116382"
"CHEM023A HM-06 FA2020","40043655"
"CHEM023A HM-02 FA2021","40043116"
"CHEM023A HM-06 FA2021","40043655"
"CHEM023B HM-01 SP2020","40005404"
"CHEM024  HM-03 SP2021","40005358"
"CHEM029L KS-01 SP2020","20042984"
"CHEM042L KS-02 SP2021","20260028"
"CHEM051  HM-01 FA2020","40005358"
"CHEM104  HM-01 SP2020","40005484"
"CHEM110A PO-02 FA2021","10087224"
"CHEM110ALPO-02 FA2021","10032286"
