"externalId","courseSectionExternalId","classBeginningTime","classEndingTime","classMeetingDays","InstructionSiteName","InstructionSiteType"
"AFRI010A AF-01 FA2020132027","AFRI010A AF-01 FA2020","1245","1400","--T-R--","ONLI    ","OnCampus"
"AFRI120  PZ-01 FA2020134299","AFRI120  PZ-01 FA2020","1430","1715","--T----","ONLI    ","OnCampus"
"AFRI191  AF-08 SP2020125984","AFRI191  AF-08 SP2020","0","0","-------","ARR    ","OnCampus"
"ANTH002  PO-01 SP2021138389","ANTH002  PO-01 SP2021","915","1030","--T-R--","ONLISYNC","OnCampus"
"ANTH053  PO-01 SP2020128590","ANTH053  PO-01 SP2020","1315","1600","----R--","HN107 ","OnCampus"
"ANTH103  PZ-01 SP2020125971","ANTH103  PZ-01 SP2020","1445","1730","-M-----","BH125 ","OnCampus"
"ANTH105  PO-01 SP2021138393","ANTH105  PO-01 SP2021","1100","1215","-M-W---","ONLISYNC","OnCampus"
"ANTH107  SC-01 SP2020127432","ANTH107  SC-01 SP2020","1445","1730","---W---","HM105 ","OnCampus"
"ANTH112  PZ-01 SP2021137262","ANTH112  PZ-01 SP2021","1900","2150","----R--","TBA    ","OnCampus"
"ANTH116  PO-01 FA2020135376","ANTH116  PO-01 FA2020","1430","1545","--T-R--","ONLIWEB ","OnCampus"
"ANTH153  PZ-01 FA2020134303","ANTH153  PZ-01 FA2020","1900","2150","---W---","ONLI    ","OnCampus"
"ANTH191  PO-04 SP2021136939","ANTH191  PO-04 SP2021","0","0","-------","ONLIASYN","OnCampus"
"ANTH191  SC-01 SP2021139659","ANTH191  SC-01 SP2021","0","0","-------","ARR    ","OnCampus"
"ARBC001  CM-01 FA2020132222","ARBC001  CM-01 FA2020","1830","2030","---W---","ONLI    ","OnCampus"
"ARBC001  CM-02 FA2020132222","ARBC001  CM-02 FA2020","1830","2030","---W---","ONLI    ","OnCampus"
"ARBC011  CM-01 FA2020132224","ARBC011  CM-01 FA2020","1730","1830","-MTWR--","ONLI    ","OnCampus"
"ARBT148  CM-01 SP2021139727","ARBT148  CM-01 SP2021","1100","1215","-M-W---","ONLI    ","OnCampus"
"ARHI001A PO-01 FA2020132977","ARHI001A PO-01 FA2020","1100","1215","-M-W---","ONLIWEB ","OnCampus"
"ARHI131  PO-01 SP2020128597","ARHI131  PO-01 SP2020","1315","1600","-M-----","LE217 ","OnCampus"
"ARHI162  SC-01 SP2021139033","ARHI162  SC-01 SP2021","1615","1730","--T-R--","ONLI    ","OnCampus"
"ARHI186A PZ-01 SP2021139822","ARHI186A PZ-01 SP2021","1430","1715","--T----","TBA    ","OnCampus"
"ARHI186I PZ-01 SU2020S1134661","ARHI186I PZ-01 SU2020S1","1300","1645","-MTWRF-","ARR    ","OnCampus"
"ART 005  PO-01 FA2020132982","ART 005  PO-01 FA2020","1245","1515","--T-R--","ONLIWEB ","OnCampus"
"ART 005  PO-01 SP2021139035","ART 005  PO-01 SP2021","915","1145","--T-R--","ONLISYNC","OnCampus"
"ART 010  PO-01 FA2020132983","ART 010  PO-01 FA2020","1245","1515","-M-W---","ONLIWEB ","OnCampus"
"ART 010  PO-01 SP2020128601","ART 010  PO-01 SP2020","935","1205","-M-W---","STAR201 ","OnCampus"
"ART 021  PO-01 SP2020128602","ART 021  PO-01 SP2020","1315","1545","--T-R--","STAR215 ","OnCampus"
"ART 021  PO-02 FA2020132986","ART 021  PO-02 FA2020","1245","1515","--T-R--","ONLIWEB ","OnCampus"
"ART 022  PO-01 SP2020128603","ART 022  PO-01 SP2020","1315","1545","-M-W---","STAR118 ","OnCampus"
"ART 028  PO-01 SP2021138412","ART 028  PO-01 SP2021","915","1145","-M-W---","ONLISYNC","OnCampus"
"ART 143  SC-01 FA2020132044","ART 143  SC-01 FA2020","1245","1445","-M-W---","ONLI    ","OnCampus"
"ART 149  SC-01 SP2020127497","ART 149  SC-01 SP2020","1000","1200","-M-W---","LA214 ","OnCampus"
"ART 179G HM-01 SP2020129666","ART 179G HM-01 SP2020","1000","1230","---W---","HIVE124 ","OnCampus"
"ART 190  PO-01 FA2020132990","ART 190  PO-01 FA2020","1245","1545","-M-W---","ONLIWEB ","OnCampus"
"ART 193  SC-01 SP2021139867","ART 193  SC-01 SP2021","0","0","-------","ONLI    ","OnCampus"
"ART 196  PZ-01 SP2020126775","ART 196  PZ-01 SP2020","0","0","-----F-","ARR    ","OnCampus"
"ASAM115  PZ-01 SP2021139765","ASAM115  PZ-01 SP2021","1100","1215","--T-R--","TBA    ","OnCampus"
"ASAM130  PZ-01 FA2020134396","ASAM130  PZ-01 FA2020","1430","1715","--T----","ONLI    ","OnCampus"
"ASTR002  PO-01 FA2020135073","ASTR002  PO-01 FA2020","915","1030","--T-R--","ONLIWEB ","OnCampus"
"ASTR123  PO-01 SP2021138423","ASTR123  PO-01 SP2021","1245","1400","--T-R--","ONLISYNC","OnCampus"
"BIOL001D PO-01 SP2021138425","BIOL001D PO-01 SP2021","1000","1050","-M-W-F-","ONLISYNC","OnCampus"
"BIOL040  PO-03 FA2020133005","BIOL040  PO-03 FA2020","1120","1210","-M-W-F-","ONLIWEB ","OnCampus"
"BIOL041C PO-03 SP2021138431","BIOL041C PO-03 SP2021","1120","1210","-M-W-F-","ONLISYNC","OnCampus"
"BIOL042L KS-02 SP2021137338","BIOL042L KS-02 SP2021","1000","1200","-M-W-F-","ONLI    ","OnCampus"
"BIOL043L KS-03 FA2020133683","BIOL043L KS-03 FA2020","840","930","-M-W-F-","ONLI    ","OnCampus"
"BIOL043LXKS-05 FA2020134277","BIOL043LXKS-05 FA2020","1900","2200","---W---","ONLI    ","OnCampus"
"BIOL044L KS-02 SP2021137344","BIOL044L KS-02 SP2021","1000","1050","-M-W-F-","ONLI    ","OnCampus"
"BIOL044LXKS-07 SP2020129371","BIOL044LXKS-07 SP2020","1330","1715","--T----","KSII201 ","OnCampus"
"BIOL052R HM-02 SP2020129469","BIOL052R HM-02 SP2020","900","950","-----F-","SHAN2460","OnCampus"
"BIOL052R HM-03 SP2020129470","BIOL052R HM-03 SP2020","900","950","-----F-","SHAN2454","OnCampus"
"BIOL052R HM-04 SP2020129471","BIOL052R HM-04 SP2020","1000","1050","-----F-","SHAN2450","OnCampus"
"BIOL109  HM-01 FA2020135221","BIOL109  HM-01 FA2020","840","930","-M-W-F-","ONLI    ","OnCampus"
"BIOL138  KS-01 SP2021137371","BIOL138  KS-01 SP2021","1100","1215","--T-R--","ONLI    ","OnCampus"
"BIOL140  KS-01 SP2020127968","BIOL140  KS-01 SP2020","1445","1600","--T----","KS101 ","OnCampus"
"BIOL146L KS-01 FA2020133698","BIOL146L KS-01 FA2020","1000","1050","-M-W-F-","ONLI    ","OnCampus"
"BIOL148L KS-01 FA2020133702","BIOL148L KS-01 FA2020","1245","1645","-----F-","ONLI    ","OnCampus"
"BIOL156L KS-01 SP2021137379","BIOL156L KS-01 SP2021","1245","1645","-M-----","ONLI    ","OnCampus"
"BIOL162  HM-01 SP2020121865","BIOL162  HM-01 SP2020","0","0","-------","ARR    ","OnCampus"
"BIOL168L KS-01 SP2021137385","BIOL168L KS-01 SP2021","1100","1215","--T-R--","ONLI    ","OnCampus"
"BIOL169L KS-01 SP2020127986","BIOL169L KS-01 SP2020","1100","1150","-M-W-F-","KS39  ","OnCampus"
"BIOL170L KS-01 SP2021137387","BIOL170L KS-01 SP2021","1100","1215","--T-R--","ONLI    ","OnCampus"
"BIOL180  PO-01 SP2021138448","BIOL180  PO-01 SP2021","905","1020","---W-F-","ONLISYNC","OnCampus"
"BIOL185L KS-01 SP2020128003","BIOL185L KS-01 SP2020","1315","1715","---W---","KSB35 ","OnCampus"
