"externalId","classificationOfInstructionalProgramCode","courseNumber","courseTitle","subjectAbbreviation","departmentExternalId","institutionExternalId","facilityExternalId","description"
"ABROAD   HM","","ABROAD   HM","Semester Abroad","HMID","HMID","HM","HM","Placeholder course for students studying abroad full-time in an approved program."
"ABUS300A CG","","ABUS300A CG","Intro to Art Market Dynamics","GACM","GACM","CG","CG",""
"ABUS300C CG","","ABUS300C CG","Contemporary Art Markets","GACM","GACM","CG","CG","A partner course to Art Market Dynamics, Contemporary Art Markets look specifically at the market for contemporary art from its blue chip to emerging manifestations. It is difficult to value art with no reasonable or robust track record in the secondary marketplace (i.e. at auction) nor with any historical pedigree. Yet the market for contemporary art works has far surpassed many other categories of collecting, including Impressionist and Modern art. This course looks at the dynamics at play in the contemporary art marketplace. Through a combination of case studies, as well as structural and statistical analysis, students will unpack the contemporary art market, while comparing it to markets for other goods (real estate, luxury goods, and commodities)."
"ABUS301  CG","","ABUS301  CG","Legal Foundations Creative Indus","GACM","GACM","CG","CG",""
"ABUS303  CG","","ABUS303  CG","New Venture Creation","GACM","GACM","CG","CG","This course covers the principles of entrepreneurship (e.g. managing process, value creation, teams, & growth) as well as various different entrepreneurial models (e.g. the lean startup, the "non non-profit," the "innovator?s dilemma," etc.), all with an eye towards generating ideas for new ventures. Following a research-based approach, students are asked to identify opportunities, customers, and markets for new products, services, businesses, organizations, and initiatives. This course is a prerequisite to the Startup Studio, in which students develop their venture ideas into fully fledged enterprise plans and pitches."
"ABUS304A CG","","ABUS304A CG","The Gallery Business","GACM","GACM","CG","CG","The Fundamentals of an Art Gallery is a detailed look into a contemporary art gallery, what it is, how it functions, how it?s structured and what role it plays in the greater art world. This course gives an in-depth look at the financial system and operations of a gallery. Fundamentals of an Art Gallery includes site visits to galleries to meet with the gallery owners to get their personal insight and experience. The course will conclude with each student creating a business plan for a gallery. The issues each student will address are how they are going to fund the gallery startup, projecting revenue and expenses, staffing, sourcing artists, creating a program, and creating a sample exhibition schedule for the year. Prerequisite ARTBUS 300."
"ABUS308  CG","","ABUS308  CG","Art Bus/On-Site/Field Study Trvl","GACM","GACM","CG","CG"," Art Business on Site introduces students to the businesses, institutions, artists, innovators, and leaders that shape the art world at present through travel to both regional and international venues where the art business is at its most active. Travel is shaped by the art world calendar and its ever changing menu of events. All students are required to participate in field study travel."
"ABUS314  CG","","ABUS314  CG","Intensive: Art Action Business","GACM","GACM","CG","CG",""
"ABUS321A CG","","ABUS321A CG","Marketing Management","","","CG","CG",""
"ABUS327  CG","","ABUS327  CG","Adv Topics: Art Collaborations","GACM","GACM","CG","CG","Brands and the Art World: An Evolving Relationship explores the increasingly central role of brands in the art world, and how they?re shaping the future of the creative industries. Artists have always had patrons - from the church, to royalty, to private collectors - but today consumer brands like Louis Vuitton, BMW, and Google are collaborating with artists like never before. The course gives students a detailed understanding of how and why these projects are shaped, as well as best practices for developing projects between the diverse stakeholders of artists, brands, and creative agencies. The course will feature lectures by guest speakers with first-hand experience in these projects, from the artist, agency, and brand side. As an assessment, the students will be given weekly reading and research assignments to develop a speculative brand-art collboration. Students will develop a proposal to be presented to the class as a live ?pitch" including artist curation, creative direction, project budget, sample contracts, and press strategy."
