"externalId","designator","beginDate","EndDate"
"FA2020","FA2020","2020-08-24","2020-12-04"
"FA2020F1","FA2020","2020-08-24","2020-10-09"
"FA2020F2","FA2020","2020-10-12","2020-12-04"
"SP2020","SP2020","2020-01-21","2020-05-15"
"SP2020P1","SP2020","2020-01-21","2020-03-06"
"SP2020P2","SP2020","2020-03-09","2020-05-15"
"SU2020","SU2020","2020-05-18","2020-07-17"
"SU2020S1","SU2020","2020-05-18","2020-06-05"
"SU2020S2","SU2020","2020-06-08","2020-07-17"
"FA2021","FA2021","2021-08-30","2021-12-17"
"FA2021F1","FA2021","2021-08-30","2021-10-15"
"FA2021F2","FA2021","2021-10-20","2021-12-17"
"SP2021","SP2021","2021-01-25","2021-05-14"
"SP2021P1","SP2021","2021-01-25","2021-03-19"
"SP2021P2","SP2021","2021-03-22","2021-05-14"
"SU2021","SU2021","2021-05-24","2021-07-23"
"SU2021H1","SU2021","2021-05-24","2021-06-11"
"SU2021H2","SU2021","2021-05-24","2021-07-02"
"SU2021H3","SU2021","2021-06-14","2021-07-02"
"SU2021H4","SU2021","2021-06-14","2021-07-23"
