"calendarSessionExternalId","courseSectionExternalId"
"FA2020","AFRI010A AF-01 FA2020"
"SP2021","AFRI010ACAF-01 SP2021"
"SP2020","AFRI010B AF-01 SP2020"
"SP2021","AFRI010B AF-01 SP2021"
"SP2020","AFRI116  AF-01 SP2020"
"SP2020","AFRI119  JT-01 SP2020"
"FA2020","AFRI120  PZ-01 FA2020"
"FA2020","AFRI121  AF-01 FA2020"
"SP2021","AFRI121  AF-01 SP2021"
"SP2020","AFRI125  AF-01 SP2020"
"FA2020","AFRI125  AF-01 FA2020"
"SP2020","AFRI144A AF-01 SP2020"
"FA2020","AFRI190  AF-01 FA2020"
"SP2020","AFRI191  AF-02 SP2020"
"SP2020","AFRI191  AF-04 SP2020"
"SP2020","AFRI191  AF-08 SP2020"
"SP2020","AFRI191  AF-12 SP2020"
"SP2020","AFRI191  AF-16 SP2020"
"SP2020","AFRI191  SC-01 SP2020"
"SP2020","AFRI191  SC-02 SP2020"
"SP2020","AFRI191  SC-03 SP2020"
"SP2021","AFRI191  SC-01 SP2021"
"SP2020","AFRI192  AF-04 SP2020"
"SP2020","AFRI193  AF-04 SP2020"
"SP2020","AMST103  JT-01 SP2020"
"SP2021","AMST103  SC-01 SP2021"
"SU2020S1","AMST120  HM-01 SU2020S1"
"FA2020","AMST130  SC-01 FA2020"
"SP2020","AMST180  SC-01 SP2020"
"SP2021","AMST180  SC-01 SP2021"
"FA2020","AMST190  PO-01 FA2020"
"SP2020","AMST191  PO-04 SP2020"
"SP2020","AMST191  PO-04 SP2020"
"SP2020","AMST191  PO-08 SP2020"
"SP2020","AMST191  SC-01 SP2020"
"SP2020","AMST191  SC-02 SP2020"
"SP2020","AMST191  SC-03 SP2020"
"SP2020","AMST191  SC-04 SP2020"
"SP2020","AMST191  SC-05 SP2020"
"SP2021","AMST191  SC-01 SP2021"
"SP2020","ANTH001  PZ-01 SP2020"
"FA2020","ANTH001  PZ-01 FA2020"
"SP2021","ANTH001  PZ-01 SP2021"
"SP2020","ANTH002  PO-01 SP2020"
"FA2020","ANTH002  PO-01 FA2020"
"FA2020","ANTH002  PO-01 FA2020"
"FA2020","ANTH002  PO-02 FA2020"
"SP2021","ANTH002  PO-01 SP2021"
"SP2021","ANTH002  PO-02 SP2021"
"SP2021","ANTH002  PO-03 SP2021"
"SP2020","ANTH002  PZ-01 SP2020"
"SP2020","ANTH002  PZ-02 SP2020"
"SP2020","ANTH002  PZ-03 SP2020"
"SU2020S2","ANTH002  PZ-01 SU2020S2"
"SU2020S2","ANTH002  PZ-01 SU2020S2"
"FA2020","ANTH002  PZ-01 FA2020"
"FA2020","ANTH002  PZ-02 FA2020"
"SP2021","ANTH002  PZ-01 SP2021"
"FA2020","ANTH002  SC-01 FA2020"
"SP2021","ANTH002  SC-01 SP2021"
"SP2020","ANTH003  PZ-01 SP2020"
"FA2020","ANTH009  PZ-01 FA2020"
"SP2021","ANTH009  PZ-01 SP2021"
"FA2020","ANTH011  PZ-01 FA2020"
"SP2021","ANTH012  PZ-01 SP2021"
"SP2021","ANTH025  SC-01 SP2021"
"SU2020S1","ANTH037  PZ-01 SU2020S1"
"SU2020S1","ANTH037  PZ-01 SU2020S1"
"SP2020","ANTH045  PZ-01 SP2020"
"FA2020","ANTH049  PZ-01 FA2020"
"SP2021","ANTH050  PZ-01 SP2021"
"SP2021","ANTH051  PZ-01 SP2021"
"SP2020","ANTH053  PO-01 SP2020"
"FA2020","ANTH070  PZ-01 FA2020"
"SP2021","ANTH098  PZ-01 SP2021"
"FA2020","ANTH101  PO-01 FA2020"
"SP2021","ANTH101  PO-01 SP2021"
"SP2020","ANTH103  PZ-01 SP2020"
"SP2020","ANTH105  PO-01 SP2020"
"SP2021","ANTH105  PO-01 SP2021"
"FA2020","ANTH105  PZ-02 FA2020"
"SP2020","ANTH107  SC-01 SP2020"
"SP2021","ANTH108  PO-01 SP2021"
"SP2021","ANTH112  PZ-01 SP2021"
"SP2020","ANTH115  PZ-01 SP2020"
"FA2020","ANTH115  SC-01 FA2020"
"FA2020","ANTH116  PO-01 FA2020"
"SP2020","ANTH116  PZ-01 SP2020"
"SP2021","ANTH118  SC-01 SP2021"
"SP2020","ANTH119  SC-01 SP2020"
"SP2020","ANTH121  PO-01 SP2020"
"SP2021","ANTH121  PO-01 SP2021"
"SP2020","ANTH122  PO-01 SP2020"
"SP2020","ANTH127  SC-01 SP2020"
"SP2020","ANTH129  SC-01 SP2020"
"FA2020","ANTH144  PO-01 FA2020"
"FA2020","ANTH145  PO-01 FA2020"
"SP2021","ANTH150  PO-01 SP2021"
"FA2020","ANTH153  PZ-01 FA2020"
"FA2020","ANTH155  PO-01 FA2020"
"SP2020","ANTH157  PO-01 SP2020"
"SP2020","ANTH158  PO-01 SP2020"
"SP2021","ANTH158  PO-01 SP2021"
"FA2020","ANTH159  PO-01 FA2020"
"SP2021","ANTH185  PO-01 SP2021"
"FA2020","ANTH189L PO-01 FA2020"
"FA2020","ANTH189L PO-01 FA2020"
"SP2021","ANTH189L PO-01 SP2021"
"FA2020","ANTH190  SC-01 FA2020"
"SP2020","ANTH191  PO-04 SP2020"
"FA2020","ANTH191  PO-04 FA2020"
"SP2021","ANTH191  PO-04 SP2021"
"SP2020","ANTH191  SC-02 SP2020"
"SP2020","ANTH191  SC-03 SP2020"
"SP2021","ANTH191  SC-01 SP2021"
"SP2020","ANTH192  PO-04 SP2020"
"FA2020","ANTH192  PO-04 FA2020"
"SP2021","ANTH192  PO-04 SP2021"
"SP2020","ANTH199  SC-01 SP2020"
"FA2020","ARBC001  CM-01 FA2020"
"FA2020","ARBC001  CM-01 FA2020"
"FA2020","ARBC001  CM-02 FA2020"
"FA2020","ARBC001  CM-02 FA2020"
"SP2020","ARBC002  CM-01 SP2020"
"SP2020","ARBC002  CM-01 SP2020"
"SP2020","ARBC002  CM-02 SP2020"
"SP2020","ARBC002  CM-02 SP2020"
"SP2021","ARBC002  CM-01 SP2021"
"SP2021","ARBC002  CM-01 SP2021"
"SP2021","ARBC002  CM-02 SP2021"
"SP2021","ARBC002  CM-02 SP2021"
"FA2020","ARBC011  CM-01 FA2020"
"SP2020","ARBC012  CM-01 SP2020"
